DATE,IR3TIB01USQ156N
2015-04-01,0.153333333333333
2015-07-01,0.24
2015-10-01,0.363333333333333
2016-01-01,0.553333333333333
2016-04-01,0.556666666666667
2016-07-01,0.7
2016-10-01,0.766666666666666
2017-01-01,0.916666666666666
2017-04-01,1.08
2017-07-01,1.24
2017-10-01,1.37333333333333
2018-01-01,1.83
2018-04-01,2.18333333333333
2018-07-01,2.2
2018-10-01,2.54
2019-01-01,2.52
2019-04-01,2.40333333333333
2019-07-01,2.10333333333333
2019-10-01,1.80333333333333
2020-01-01,1.53
2020-04-01,0.185
2020-07-01,0.153333333333333
2020-10-01,0.15
2021-01-01,0.116666666666667
2021-04-01,0.1
2021-07-01,0.1
2021-10-01,0.14
2022-01-01,0.443333333333333
2022-04-01,1.37
2022-07-01,2.82333333333333
2022-10-01,4.27333333333333
2023-01-01,4.75333333333333
2023-04-01,5.13333333333333
2023-07-01,5.42666666666667
2023-10-01,5.39666666666667
