DATE,CSCICP03USM665S
1960-01-01,101.631190864996
1960-02-01,101.37299521762
1960-03-01,101.149936465377
1960-04-01,101.026893998576
1960-05-01,101.057958406425
1960-06-01,101.145883896504
1960-07-01,101.164456899767
1960-08-01,101.024003593321
1960-09-01,100.806249910021
1960-10-01,100.625448077529
1960-11-01,100.566803535397
1960-12-01,100.58795000018
1961-01-01,100.636606704813
1961-02-01,100.688444631082
1961-03-01,100.757442502247
1961-04-01,100.879456475122
1961-05-01,101.078629887262
1961-06-01,101.28078690244
1961-07-01,101.37784914584
1961-08-01,101.289268737399
1961-09-01,101.128556095737
1961-10-01,101.047941197564
1961-11-01,101.155167071485
1961-12-01,101.350185547132
1962-01-01,101.489389788606
1962-02-01,101.462054226194
1962-03-01,101.322588722258
1962-04-01,101.140836041883
1962-05-01,100.964499265065
1962-06-01,100.823856375317
1962-07-01,100.758598203062
1962-08-01,100.808972483122
1962-09-01,100.931543193543
1962-10-01,101.082578388914
1962-11-01,101.229241604503
1962-12-01,101.332318774266
1963-01-01,101.333317128641
1963-02-01,101.185150139341
1963-03-01,100.984901278359
1963-04-01,100.858400959932
1963-05-01,100.896885353011
1963-06-01,101.019906652348
1963-07-01,101.121755137204
1963-08-01,101.133344322619
1963-09-01,101.10526892634
1963-10-01,101.117532086673
1963-11-01,101.228937163215
1963-12-01,101.38614097979
1964-01-01,101.512891918567
1964-02-01,101.553469274142
1964-03-01,101.546575485423
1964-04-01,101.545416982275
1964-05-01,101.585256175289
1964-06-01,101.645228161153
1964-07-01,101.691119305789
1964-08-01,101.698013034649
1964-09-01,101.687016464227
1964-10-01,101.690827418418
1964-11-01,101.737191732353
1964-12-01,101.817553043424
1965-01-01,101.923306253503
1965-02-01,102.048053994022
1965-03-01,102.164471192056
1965-04-01,102.233319439631
1965-05-01,102.220791917344
1965-06-01,102.163427256614
1965-07-01,102.101953461706
1965-08-01,102.059968981992
1965-09-01,102.026732906585
1965-10-01,101.979478541035
1965-11-01,101.89697859152
1965-12-01,101.787128627381
1966-01-01,101.65535581201
1966-02-01,101.500377660173
1966-03-01,101.331883634753
1966-04-01,101.15634356686
1966-05-01,100.976331948338
1966-06-01,100.796898267929
1966-07-01,100.628540538033
1966-08-01,100.489600883363
1966-09-01,100.397585179083
1966-10-01,100.394011490393
1966-11-01,100.522334562912
1966-12-01,100.717428296279
1967-01-01,100.905445100627
1967-02-01,101.036904593369
1967-03-01,101.126859223845
1967-04-01,101.194250017273
1967-05-01,101.242767180982
1967-06-01,101.264274547689
1967-07-01,101.233568390162
1967-08-01,101.130146031716
1967-09-01,101.012187982121
1967-10-01,100.958678923156
1967-11-01,101.026064386511
1967-12-01,101.140458439856
1968-01-01,101.199427955226
1968-02-01,101.126768288586
1968-03-01,100.982703496186
1968-04-01,100.847705369999
1968-05-01,100.777717598909
1968-06-01,100.750313263693
1968-07-01,100.734682608105
1968-08-01,100.719037374096
1968-09-01,100.726241457402
1968-10-01,100.801916883227
1968-11-01,100.979700463432
1968-12-01,101.178029112386
1969-01-01,101.278077955251
1969-02-01,101.181153366332
1969-03-01,100.964365814708
1969-04-01,100.713964405807
1969-05-01,100.478534384519
1969-06-01,100.255808496765
1969-07-01,100.027453840118
1969-08-01,99.7811545809046
1969-09-01,99.5383234401875
1969-10-01,99.3368109056485
1969-11-01,99.2101463237875
1969-12-01,99.1254603871273
1970-01-01,99.047202839398
1970-02-01,98.9588815343414
1970-03-01,98.8783731067636
1970-04-01,98.8400214225369
1970-05-01,98.8689231511233
1970-06-01,98.9130565947456
1970-07-01,98.9009319153788
1970-08-01,98.7840096478851
1970-09-01,98.6353773349577
1970-10-01,98.5620944445319
1970-11-01,98.6492473314499
1970-12-01,98.8286547778041
1971-01-01,99.0159633555792
1971-02-01,99.1554882298582
1971-03-01,99.2571528306076
1971-04-01,99.3395817545517
1971-05-01,99.4110539405775
1971-06-01,99.4696915219437
1971-07-01,99.5067370563824
1971-08-01,99.522665362039
1971-09-01,99.5648873991607
1971-10-01,99.7078877850161
1971-11-01,100.00706857617
1971-12-01,100.351814703205
1972-01-01,100.591204599785
1972-02-01,100.614155495844
1972-03-01,100.534924941219
1972-04-01,100.50492435729
1972-05-01,100.626714039293
1972-06-01,100.818768187943
1972-07-01,100.953341095343
1972-08-01,100.924068864243
1972-09-01,100.771052368558
1972-10-01,100.533091392704
1972-11-01,100.223663035525
1972-12-01,99.8918445943955
1973-01-01,99.5855340989022
1973-02-01,99.3370609273098
1973-03-01,99.1232884785635
1973-04-01,98.9213125332495
1973-05-01,98.7294588905295
1973-06-01,98.576484502822
1973-07-01,98.5167221272871
1973-08-01,98.5863457234784
1973-09-01,98.6664238376424
1973-10-01,98.590334098285
1973-11-01,98.2407231937656
1973-12-01,97.8026347034127
1974-01-01,97.5347955689667
1974-02-01,97.629380151857
1974-03-01,97.9015249345715
1974-04-01,98.099964458508
1974-05-01,98.0401070631816
1974-06-01,97.8108158830298
1974-07-01,97.5313343964483
1974-08-01,97.277645760833
1974-09-01,97.0590224528702
1974-10-01,96.8789400935207
1974-11-01,96.7609259441696
1974-12-01,96.7358664553445
1975-01-01,96.8852719999395
1975-02-01,97.2915869447336
1975-03-01,97.8140346896687
1975-04-01,98.2802980556101
1975-05-01,98.5620668707843
1975-06-01,98.706769937392
1975-07-01,98.7698974315156
1975-08-01,98.7843890504134
1975-09-01,98.8115977334778
1975-10-01,98.9228638639139
1975-11-01,99.168372405072
1975-12-01,99.4619525905873
1976-01-01,99.6896455667383
1976-02-01,99.7702003904473
